id,year,test_score,treatment,post,income,parent_edu,school_funding,class_size,teacher_experience
1,1,82.3390032290623,0,0,26849.5271311087,15.1551038105261,5035.76130157599,28.1945297606625,0.332082295205161
1,2,80.7478686376487,0,0,29099.2172315286,15.1551038105261,4599.65412884423,20.3361310349012,5.21705016570324
1,3,83.2270543362564,0,0,28905.4216103482,15.1551038105261,5324.55387488859,29.3348736746892,3.04532726766015
1,4,75.2983168774236,0,0,29442.9673350385,15.1551038105261,6279.92045179196,27.4770485453819,1.32089554075287
1,5,83.5932247349006,0,0,33317.2026333722,15.1551038105261,5623.7683979428,30.0208759519477,7.79468747516362
1,6,101.448143084023,0,0,34542.1626050675,15.1551038105261,6166.15225756568,21.7814010462736,8.16673860822638
1,7,90.2902495666955,0,1,33719.0156630928,15.1551038105261,6200.93402506647,21.7267237322553,6.53216666995717
1,8,92.8010795010133,0,1,35584.6080763101,15.1551038105261,6257.27696765117,24.3044408241037,6.80627376289749
1,9,101.83035175122,0,1,35830.3784794848,15.1551038105261,7459.61484859986,24.0612188048911,7.73232736377835
1,10,97.1454334347671,0,1,38388.4643411884,15.1551038105261,6073.24268982453,26.7548958548,9.31160779344028
1,11,117.056307979335,0,1,39150.0451632128,15.1551038105261,7189.57746442678,24.0841040692592,11.5233509713594
1,12,103.367680199588,0,1,39417.9490530348,15.1551038105261,7314.49121594749,24.3933595200993,13.2766039715873
1,13,97.830395443472,0,1,40620.8779998773,15.1551038105261,8316.77578379192,21.793390905096,13.5227344428332
1,14,103.371379331937,0,1,41440.7003901246,15.1551038105261,7770.37393032505,27.0704497194723,12.3749504514926
1,15,106.611608505164,0,1,44046.8418855247,15.1551038105261,8517.25772585468,29.2617976707504,14.3996391862952
2,1,74.9258977601131,1,0,26854.0558751806,13.8687163870116,5318.2243433282,24.5368196219379,0
2,2,74.791195876094,1,0,27437.5798575471,13.8687163870116,4981.88776236357,23.9562854712406,1.46347909782134
2,3,87.3379769969566,1,0,26996.27320148,13.8687163870116,5789.98504558271,26.6027766940308,3.01315009823432
2,4,80.2877558828545,1,0,26831.0512064255,13.8687163870116,5247.69984893124,23.1812179290238,4.57145035637109
2,5,87.4143328415035,1,0,29926.15443358,13.8687163870116,5406.400116854,24.0953094283922,5.31313367308937
2,6,92.1464219019177,1,0,29996.2777587959,13.8687163870116,6806.91129442535,21.4867780100593,8.91008479767266
2,7,102.280449420212,1,1,30912.0022919835,13.8687163870116,6505.68957347285,23.5518694749802,9.55120629202624
2,8,93.5487760718791,1,1,32761.5805625931,13.8687163870116,5807.71449487655,29.7422353689872,7.50244021385958
2,9,97.6739978205637,1,1,31613.9946790829,13.8687163870116,6493.96345338538,23.6781994512175,6.68883497596173
2,10,98.5718293255984,1,1,34429.5837749343,13.8687163870116,7304.19731530255,27.5863207690453,6.0619548730635
2,11,97.0629051798549,1,1,33650.4348898011,13.8687163870116,7339.2292633502,20.5924349858066,11.3074259462486
2,12,105.415596346414,1,1,34128.4964990227,13.8687163870116,7177.73038666935,28.5044282047801,8.949370973792
2,13,115.599703998958,1,1,35413.9961127259,13.8687163870116,7126.66036891665,22.9266083616228,16.915325972046
2,14,108.995402935962,1,1,36787.8199211511,13.8687163870116,7666.11036591341,19.1976855575457,14.9002545444422
2,15,116.273413781544,1,1,36968.6424828173,13.8687163870116,8453.42269038135,24.774086145577,11.6216243243107
3,1,79.9217142007101,0,0,27250.4490573641,13.3008611694266,4916.59206416272,21.9113661006602,1.47294019726348
3,2,88.3684753839839,0,0,28771.6261500608,13.3008611694266,5880.39227608821,25.5277559314596,7.47019668162932
3,3,83.6649704984248,0,0,27413.6134786532,13.3008611694266,5926.65521078292,24.8885154744215,2.40985352846643
3,4,88.2169681785627,0,0,30349.3270488584,13.3008611694266,5669.98918933934,32.2944966163135,5.46704411267261
3,5,84.6550626738968,0,0,32216.0990992095,13.3008611694266,5089.60878810399,26.7148339739306,5.79835623220608
3,6,87.2584900038329,0,0,32493.167258078,13.3008611694266,5787.2828098189,28.8423846890205,8.71747012109776
3,7,98.6422331457987,0,1,34253.0489058109,13.3008611694266,6726.4403984212,28.8755450668799,5.37253589334382
3,8,95.613145099333,0,1,34952.9977684638,13.3008611694266,7508.06131208701,25.3156689579996,10.0450348303135
3,9,97.9629376635364,0,1,36014.9562317845,13.3008611694266,7215.62242998399,24.791251084145,8.14773919786429
3,10,93.2308423906577,0,1,36927.6485813941,13.3008611694266,6506.54452168125,19.9537738257215,11.4942958488851
3,11,97.6386420450824,0,1,35435.3170259339,13.3008611694266,7317.985824315,26.9456152635547,14.5466505457579
3,12,92.046033013183,0,1,38080.3516182663,13.3008611694266,7204.46368513793,28.0612908651763,15.1548123826278
3,13,97.0521934152285,0,1,40608.5534237943,13.3008611694266,7318.57791673388,22.4057742242823,13.9760067730523
